sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
M,475,365,0.14,0.6175,202,0.1445,0.19
F,0.53,0.4,165,772,0.2855,0.1975,0.23
F,525,415,0.15,0.7155,0.2355,171,0.27
F,0.53,425,0.13,717,0.2115,166,255
I,315,235,0.08,0.18,0.08,45,47
I,465,355,0.12,0.5805,255,0.0915,184
M,485,385,105,556,296,104,133
I,0.49,385,0.12,591,271,0.1125,0.1775
F,515,395,0.14,686,281,0.1255,0.22
F,555,0.44,155,1016,0.4935,0.1855,263
F,0.61,0.5,0.18,1438,0.5185,0.3735,0.3345
F,0.68,0.55,0.19,1807,0.8225,0.3655,515
F,0.72,575,195,2.1505,1.0745,382,585
I,0.27,205,75,118,59,31,0.0305
I,295,0.22,65,0.1295,52,28,35
I,315,0.23,0.07,164,0.0625,0.04,45
I,0.38,0.3,0.09,277,0.1655,0.0625,82
I,385,285,0.09,248,0.0935,66,0.07
I,0.4,295,95,252,0.1105,0.0575,66
M,415,315,0.12,0.4015,199,87,97
I,415,0.33,0.1,0.3905,0.1925,0.0755,0.1025
I,0.44,0.33,135,0.4095,163,0.1005,119
I,0.45,0.35,135,494,0.2205,0.0945,0.1405
I,475,0.35,0.12,0.4905,0.2035,0.13,135
M,485,0.39,0.12,599,251,0.1345,169
F,525,0.41,115,0.7745,416,163,0.18
M,565,455,0.15,0.9795,444,205,275
F,585,0.45,125,874,0.3545,0.2075,225
M,0.6,465,155,1262,0.6245,0.2455,0.33
M,0.63,0.48,185,1.21,0.53,0.2555,322
F,655,545,185,1759,0.6865,313,547
F,0.67,0.52,195,1.8065,758,0.3735,0.5055
M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505
M,0.72,0.6,235,2.2385,984,411,621
I,185,135,45,32,11,0.0065,0.01
I,245,175,55,0.0785,0.04,18,0.02
I,315,0.23,0,134,0.0575,0.0285,0.3505
I,415,0.31,95,0.34,181,57,83
I,455,0.35,135,0.5365,0.2855,0.0855,0.1325
I,0.48,0.35,105,635,352,127,135
I,485,375,125,562,0.2505,0.1345,0.1525
I,0.51,0.39,125,597,293,0.1265,0.1555
F,555,0.43,0.14,0.7545,0.3525,0.1835,0.2015
M,585,465,0.15,0.98,0.4315,0.2545,247
F,585,0.46,0.15,1.0035,503,0.2105,0.2515
M,585,455,155,1133,0.5515,223,305
M,0.61,0.49,0.16,1146,597,246,265
M,0.61,475,0.15,1142,0.62,237,245
M,615,0.53,0.17,1.12,0.5775,0.2095,286
F,0.62,465,0.14,1011,479,0.2385,255
M,625,505,175,1131,0.5425,0.2265,323
M,625,0.48,175,1065,0.4865,259,285
M,635,0.48,145,1181,665,229,225
F,0.64,525,175,1382,646,0.3115,0.37
M,0.66,485,155,1.2275,0.61,274,0.3
M,0.66,515,155,1.4415,0.7055,0.3555,335
F,0.68,0.55,175,1473,713,282,0.4295
F,0.69,0.58,195,1658,708,0.3615,0.4715
M,0.72,545,195,1.7475,0.8215,383,0.4705
I,275,0.2,0.07,96,37,0.0225,0.03
I,0.33,0.26,85,0.1965,0.0915,0.0425,55
I,365,0.28,0.09,196,0.0865,36,0.0605
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925
I,435,335,0.11,334,0.1355,0.0775,0.0965
I,435,325,0.1,366,174,0.0725,109
I,0.44,325,0.11,0.4965,258,0.1195,0.1075
I,495,385,125,0.5125,0.2075,0.1155,172
M,0.51,405,125,0.6925,327,155,0.1805
I,0.54,0.42,0.14,0.74,0.3595,159,0.1985
I,0.54,415,155,702,322,167,0.19
I,0.55,445,125,672,288,0.1365,0.21
F,575,0.45,0.12,0.9585,447,169,275
I,575,0.45,0.15,858,449,166,215
F,575,0.46,165,0.9575,0.4815,0.1945,236
F,0.58,425,155,873,0.3615,249,239
M,0.59,0.45,0.16,998,445,214,301
M,0.6,0.46,155,0.6655,285,149,269
M,0.62,485,145,1003,0.4655,0.2195,0.28
F,625,495,0.16,1234,0.6335,192,0.35
M,625,495,155,1025,0.46,0.1945,0.34
M,625,495,175,1.2935,0.5805,317,355
M,625,0.5,175,1.0565,0.4615,258,305
F,625,485,165,1.2255,0.5075,296,0.36
M,645,0.51,165,1403,0.5755,0.2515,0.4545
F,0.69,535,185,1826,797,409,499
F,695,0.56,185,1.7715,0.8195,331,437
M,515,0.39,0.12,0.6125,302,0.1365,0.1415
M,0.62,465,145,911,375,0.2145,278
M,0.63,0.49,0.15,1.1955,0.5845,257,0.3
F,0.63,515,0.16,1336,553,0.3205,0.35
F,0.64,0.49,0.18,1.36,653,347,305
I,0.37,275,0.08,0.2325,93,56,72
I,0.4,0.3,115,318,0.1335,0.0725,0.0935
I,0.41,305,0.1,0.2645,0.1,0.0655,85
I,0.5,0.36,0.12,439,0.1875,0.1055,0.1305
I,515,395,125,0.5805,0.2365,0.1075,0.19
I,0.52,0.4,0.14,622,278,0.1455,169
M,545,0.45,0.15,0.7805,0.3795,0.1625,216
I,545,0.43,0.14,772,289,0.19,0.2615
I,0.55,435,125,741,348,0.1585,206
M,0.55,0.43,0.18,0.8265,0.4405,159,225
M,0.55,385,0.13,0.7275,343,0.1625,0.19
I,555,0.43,125,0.7005,0.3395,0.1355,0.2095
M,0.56,0.45,145,0.9355,425,0.1645,0.2725
F,575,0.48,0.17,1.1,506,0.2485,0.31
M,585,0.51,0.16,1218,639,241,0.3
I,595,475,155,984,0.4865,184,0.2755
M,0.61,365,155,1.0765,488,249,0.27
M,625,0.5,0.18,1.3705,645,303,0.3705
F,625,0.49,0.19,1.7015,0.7465,0.4105,0.3855
M,0.63,0.53,175,1.4135,667,0.2945,0.3555
F,635,485,155,1073,467,0.1975,0.35
F,635,0.5,175,1477,684,0.3005,0.39
M,0.67,525,0.18,1.4915,728,343,381
F,675,0.51,0.15,1.1965,475,304,386
M,0.7,545,215,1.9125,0.8825,0.4385,506
F,715,565,0.18,1.79,844,0.3535,0.5385
F,0.72,0.59,205,1.7495,0.7755,0.4225,0.48
I,0.48,0.35,0.1,519,0.2365,0.1275,126
M,0.48,365,0.13,0.5305,0.2405,127,139
I,515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
I,0.56,0.42,0.14,837,414,214,0.2
F,0.57,0.45,0.15,0.9645,531,189,209
I,0.3,215,0.05,0.1185,48,0.0225,42
I,455,0.35,0.13,0.4725,215,0.0745,0.15
I,0.49,375,115,557,0.2275,0.1335,0.1765
I,0.5,385,0.12,516,197,0.1305,165
M,0.55,0.42,145,0.7385,321,0.1485,252
I,0.55,445,0.11,0.7935,378,142,0.26
M,555,435,145,0.9205,404,0.2275,255
I,0.57,425,0.14,0.7655,331,0.14,0.24
M,0.58,0.45,0.14,824,0.3465,0.1765,263
M,585,0.45,0.15,997,0.4055,283,251
F,595,455,0.14,914,0.3895,0.2225,271
F,0.6,0.5,0.17,1.13,0.4405,267,335
M,0.63,505,155,1105,492,226,325
M,0.63,0.49,155,1229,535,0.29,335
M,655,525,0.18,1402,624,0.2935,365
M,0.67,535,0.19,1669,0.7465,0.2935,508
M,0.67,525,0.2,1.7405,0.6205,297,657
M,695,0.53,0.21,1.51,664,0.4095,385
M,0.77,605,175,2.0505,0.8005,526,355
I,0.28,215,0.07,124,63,0.0215,0.03
I,0.33,0.23,0.08,0.14,0.0565,0.0365,46
I,0.35,0.25,75,0.1695,0.0835,0.0355,41
I,0.43,315,115,384,0.1885,0.0715,0.11
I,435,0.33,95,393,219,75,0.0885
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,115
M,475,0.37,0.11,0.4895,0.2185,107,146
M,475,0.36,0.14,0.5135,241,0.1045,155
I,0.48,355,0.11,0.4495,201,89,0.14
F,585,475,165,1053,458,217,0.3
F,585,455,0.17,0.9945,0.4255,263,0.2845
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,81
I,405,0.3,85,0.3035,0.15,0.0505,88
I,475,365,115,499,232,0.0885,156
M,0.5,0.38,125,577,269,0.1265,0.1535
F,515,0.4,125,615,0.2865,123,0.1765
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
M,0.56,0.43,155,0.8675,0.4,172,229
F,565,0.45,165,887,0.37,239,249
M,0.59,0.44,135,966,439,0.2145,0.2605
M,0.6,475,205,1176,0.5255,0.2875,308
F,625,485,0.15,1.0945,531,261,296
M,0.43,0.35,0.11,406,0.1675,81,135
M,0.49,0.38,135,0.5415,0.2175,95,0.19
F,535,405,145,0.6845,0.2725,171,205
F,0.44,0.34,0.1,451,188,87,0.13
M,0.45,0.32,0.1,381,0.1705,75,115
M,355,0.28,95,0.2455,0.0955,62,75
I,0.38,275,0.1,0.2255,0.08,49,85
F,565,0.44,155,0.9395,0.4275,214,0.27
F,0.55,415,135,0.7635,318,0.21,0.2
F,0.56,0.44,0.14,0.9285,0.3825,188,0.3
F,0.58,0.45,185,0.9955,0.3945,272,285
M,665,525,165,1338,0.5515,0.3575,0.35
I,0.21,0.15,0.05,42,0.0175,0.0125,15
M,485,0.36,0.13,0.5415,0.2595,96,0.16
M,405,0.31,0.1,385,173,0.0915,0.11
M,445,0.35,0.12,0.4425,192,0.0955,135
M,0.47,385,135,0.5895,0.2765,0.12,0.17
M,505,405,0.11,625,305,0.16,175
F,0.53,0.41,0.13,0.6965,302,0.1935,0.2
M,0.52,0.4,0.12,0.58,234,0.1315,185
F,565,0.44,0.16,915,354,0.1935,0.32
F,475,0.39,0.12,0.5305,0.2135,0.1155,0.17
M,0.57,0.48,175,1185,474,261,0.38
F,605,0.45,195,1098,481,0.2895,315
F,0.6,0.47,0.15,922,363,194,305
F,615,475,0.17,1.1025,0.4695,0.2355,345
M,595,475,0.16,1.3175,408,234,0.58
M,625,465,0.14,1195,0.4825,205,0.4
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
F,625,495,165,1262,507,318,0.39
F,475,375,125,0.5785,0.2775,85,155
I,0.36,265,95,0.2315,105,46,75
M,0.44,0.34,105,402,0.1305,0.0955,165
I,385,295,85,0.2535,103,0.0575,85
I,375,275,0.09,238,0.1075,0.0545,0.07
I,385,0.29,85,0.2505,112,61,0.08
M,595,0.48,165,1262,0.4835,283,0.41
F,325,0.26,0.09,0.1915,85,36,62
I,0.28,205,0.08,127,52,39,42
I,175,0.13,55,0.0315,0.0105,0.0065,0.0125
F,605,0.5,185,1.1185,469,0.2585,335
M,645,485,215,1514,546,0.2615,635
M,605,465,165,1056,0.4215,0.2475,0.34
M,0.61,485,175,1.2445,544,297,345
M,725,0.57,0.19,2.55,1.0705,483,725
M,705,0.56,0.22,1981,0.8175,0.3085,0.76
F,0.52,405,115,776,0.32,0.1845,0.22
I,235,0.16,0.04,48,0.0185,18,15
I,0.36,0.26,0.09,0.1785,0.0645,37,75
I,315,0.21,0.06,125,0.06,0.0375,35
M,0.58,475,0.15,0.97,385,0.2165,0.35
M,0.64,0.51,175,1368,515,266,0.57
F,0.56,0.45,0.16,1.0235,429,268,0.3
F,0.63,0.5,185,1383,0.54,0.3315,0.38
F,585,0.46,0.17,0.9325,365,271,0.29
M,615,0.48,0.18,1.1595,0.4845,0.2165,325
M,0.61,485,0.17,1.0225,419,0.2405,0.36
M,0.58,0.45,0.15,927,276,0.1815,0.36
F,505,0.41,0.15,644,285,145,0.21
M,0.56,0.45,0.16,922,432,178,0.26
M,0.5,0.4,165,825,254,205,285
F,0.53,435,0.17,0.8155,0.2985,155,275
F,525,415,0.17,0.8325,0.2755,0.1685,0.31
I,0.37,0.28,95,0.2655,122,52,0.08
F,485,395,0.16,0.66,0.2475,128,235
I,405,0.3,0.12,324,0.1265,0.07,0.11
F,445,355,0.15,485,181,125,155
I,425,0.38,105,0.3265,0.1285,0.0785,0.1
M,555,445,135,836,336,0.1625,275
I,0.44,0.35,135,435,0.1815,83,125
I,75,55,0.01,2,1,0.0005,0.0015
I,0.11,0.09,0.03,8,0.0025,2,3
I,0.16,0.12,35,21,0.0075,0.0045,5
I,0.23,175,65,0.0645,26,0.0105,0.02
I,0.32,245,0.08,0.1585,0.0635,0.0325,0.05
I,0.36,275,85,0.1975,0.0745,0.0415,0.07
I,305,245,75,156,0.0675,38,45
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36
M,0.56,0.45,185,1.07,0.3805,175,0.41
F,0.57,0.44,125,865,0.3675,0.1725,0.27
M,0.52,0.45,0.15,895,0.3615,186,235
M,0.35,275,0.11,0.2925,0.1225,0.0635,0.0905
M,0.62,485,205,1219,0.3875,0.2505,385
M,0.63,505,225,1525,0.56,0.3335,0.45
M,0.63,515,155,1259,0.4105,197,0.41
M,515,0.38,175,0.9565,325,158,0.31
F,535,415,0.17,879,295,0.1965,285
F,535,435,0.16,0.8105,0.3155,0.1795,0.24
F,565,505,0.21,1.2765,501,279,355
I,0.28,0.21,85,0.1065,39,0.0295,0.03
M,0.37,0.28,105,234,0.0905,0.0585,75
F,405,305,95,0.3485,0.1455,0.0895,0.1
I,0.2,145,0.06,37,0.0125,0.0095,11
M,385,0.31,0.1,0.2845,0.1065,75,0.1
I,0.32,255,0.1,0.1755,73,0.0415,65
M,0.36,295,105,241,0.0865,53,95
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09
M,0.5,0.38,155,0.5955,0.2135,161,0.2
M,0.62,465,0.19,1.3415,0.5705,0.3175,355
M,0.6,475,0.19,1.0875,403,0.2655,325
F,565,0.45,195,1.0035,406,0.2505,285
M,0.62,465,185,1274,579,0.3065,0.32
M,0.49,0.39,0.14,707,0.2795,0.2185,0.18
F,525,0.42,0.16,756,0.2745,173,275
I,375,305,115,0.2715,92,74,0.09
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,245
M,675,525,185,1587,0.6935,336,395
F,0.59,465,0.15,997,392,246,0.34
F,0.62,0.5,175,1186,0.4985,0.3015,0.35
F,0.69,0.56,215,1719,0.68,299,0.47
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,285
M,565,465,175,995,0.3895,183,0.37
M,485,0.4,135,663,313,137,0.2
M,545,425,135,0.8445,373,0.21,235
I,465,375,0.12,471,222,119,0.14
F,0.47,375,125,0.5615,252,137,0.18
I,345,275,95,0.1995,0.0755,0.0535,0.07
M,0.47,0.38,145,0.5865,0.2385,144,185
F,435,325,0.11,0.4335,178,0.0985,155
M,0.59,485,0.12,911,0.39,182,0.29
M,585,475,0.12,945,0.41,0.2115,0.28
F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28
F,0.63,0.5,155,1005,367,199,0.36
F,0.67,0.54,165,1.5015,518,358,505
M,0.6,0.5,0.16,1015,0.3995,0.1735,0.33
F,0.56,455,125,943,344,129,375
M,565,455,0.17,0.9065,342,156,0.32
M,545,0.42,0.14,0.7505,0.2475,0.13,255
M,0.5,0.41,0.15,662,0.2815,137,0.22
I,0.36,275,0.11,0.2335,95,0.0525,85
F,665,555,195,1.4385,581,354,0.36
F,585,465,0.17,0.9915,0.3865,224,265
I,0.24,185,0.07,0.0715,26,18,25
I,0.22,165,55,0.0545,0.0215,12,0.02
I,175,125,0.05,0.0235,8,0.0035,8
F,0.53,0.44,135,0.7835,313,0.1715,0.2185
I,0.43,0.34,0.12,0.3575,151,0.0645,0.1045
F,0.52,405,0.12,627,0.2645,0.1415,181
M,0.53,415,175,0.7395,261,0.1395,0.2645
F,0.58,0.46,0.15,0.9955,429,212,0.26
F,585,465,0.14,908,381,0.1615,315
M,0.54,0.42,135,0.8075,0.3485,0.1795,235
F,655,0.51,155,1.2895,0.5345,0.2855,0.41
F,625,0.5,0.15,953,0.3445,0.2235,305
F,605,485,165,1.0105,435,209,0.3
F,0.58,0.44,0.18,854,0.3665,0.1635,245
F,625,485,0.19,1.1745,0.4385,0.2305,0.42
M,0.6,0.47,175,1105,0.4865,247,315
I,0.56,445,155,0.8735,0.3005,209,275
I,0.68,0.53,185,1.1095,439,245,0.34
M,0.4,0.29,115,0.2795,0.1115,0.0575,75
F,345,0.25,0.09,203,78,59,55
M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
F,0.36,0.27,0.09,0.1885,0.0845,0.0385,55
M,155,0.11,0.04,0.0155,0.0065,3,5
I,0.53,0.42,185,752,299,156,205
I,0.47,0.37,0.14,0.4985,0.2095,0.1225,145
I,465,0.38,0.13,454,0.1895,0.08,155
I,0.52,405,0.14,0.5775,0.2,145,179
F,0.38,0.29,105,257,99,51,85
M,255,195,65,0.08,0.0315,18,27
I,0.65,515,0.16,1.1625,495,203,0.33
I,0.56,0.44,165,0.8,335,0.1735,0.25
I,485,0.39,125,591,287,141,0.12
F,0.47,355,0.13,0.5465,0.2005,126,185
I,485,355,0.13,581,245,132,168
I,0.45,345,135,443,0.1975,0.0875,0.1175
F,0.59,455,155,1066,382,0.2275,415
I,0.61,475,0.15,0.9665,0.4145,0.2,345
F,0.61,475,0.14,1133,0.5275,0.2355,0.35
I,0.58,445,0.15,0.8865,383,209,255
F,0.63,0.48,175,1.3675,0.5015,0.3035,515
F,625,0.49,175,1233,0.5565,247,365
I,0.46,355,0.14,0.4935,216,133,115
I,495,0.39,125,0.6655,284,162,0.2
I,0.52,425,0.17,0.6805,0.28,174,195
F,0.55,0.41,145,0.8285,0.3095,0.1905,0.25
M,0.45,335,0.14,0.4625,164,76,0.15
I,575,455,0.18,0.8525,0.3015,0.1825,0.3
F,0.56,445,195,981,305,0.2245,335
I,425,345,125,425,0.16,0.0795,154
I,485,0.37,0.13,458,181,113,136
M,0.37,285,0.1,228,0.0675,0.0675,81
M,195,145,0.05,32,0.01,8,12
I,495,0.37,125,0.4775,185,0.0705,169
F,0.47,355,0.14,433,0.1525,95,152
F,0.5,385,115,0.6785,0.2945,138,195
F,525,405,0.16,658,0.2655,0.1125,225
F,425,335,95,322,0.1205,61,125
M,0.34,265,85,0.1835,77,46,65
M,0.46,365,125,467,0.1895,0.0945,158
M,0.36,295,0.1,0.2105,66,0.0525,75
M,355,0.26,85,0.1905,81,0.0485,55
F,0.51,0.4,0.13,0.5735,219,0.1365,195
M,0.33,255,95,0.1875,0.0735,45,0.06
M,0.45,0.34,0.13,0.3715,0.1605,0.0795,105
I,445,0.33,0.12,347,0.12,84,105
M,255,0.18,65,79,34,14,25
I,335,245,0.09,0.1665,0.0595,0.04,0.06
I,535,0.45,0.17,781,0.3055,0.1555,295
F,415,0.34,0.13,0.3675,146,0.0885,0.12
F,0.45,0.35,145,0.5425,0.1765,123,175
M,0.49,0.39,0.15,573,225,124,0.17
F,0.37,275,0.1,0.2225,93,26,0.08
M,485,0.37,0.14,0.5725,204,0.1415,175
F,535,0.4,0.15,0.8045,0.3345,0.2125,0.21
F,535,405,125,927,0.26,0.1425,345
F,0.43,325,115,0.3865,0.1475,0.1065,0.11
I,315,0.23,0.09,0.1285,43,0.04,0.04
I,155,105,0.05,0.0175,5,0.0035,5
M,0.28,205,0.1,0.1165,0.0545,0.0285,0.03
F,0.43,335,0.12,444,155,0.1145,0.14
F,395,315,105,0.3515,0.1185,91,0.1195
M,0.4,0.3,125,417,191,0.09,0.1175
F,345,0.26,0.09,207,0.0775,0.0435,0.0765
M,355,265,85,201,69,53,0.0695
I,0.29,205,0.07,0.0975,36,19,35
I,0.15,0.1,25,15,0.0045,4,5
M,555,455,0.16,1.0575,0.3925,228,293
F,0.49,0.36,0.11,0.5005,161,107,195
F,0.52,0.4,0.12,0.6515,261,0.2015,165
M,525,0.4,0.13,0.8295,0.2405,0.1825,275
M,545,0.42,0.13,879,374,0.1695,0.23
M,0.52,385,115,669,0.2385,172,205
F,0.36,265,0.09,0.2065,78,57,0.06
F,0.52,405,0.14,0.8175,0.2795,183,0.26
M,0.53,415,0.13,0.8425,275,0.1945,265
F,0.53,0.42,0.13,1001,0.34,226,265
M,485,355,0.12,547,215,0.1615,0.14
M,0.57,0.44,155,1116,0.4775,0.2315,0.27
M,0.57,0.43,0.12,1.0615,348,167,0.31
F,0.54,0.44,135,959,0.2385,221,0.3
M,545,0.45,0.15,978,0.3365,0.1905,0.3
F,0.55,0.43,155,785,289,227,233
I,485,375,0.14,521,0.2,123,0.17
M,465,0.35,0.14,0.5755,0.2015,0.1505,0.19
M,0.56,0.41,165,0.93,0.3505,237,0.3
M,505,385,0.15,0.6415,246,152,215
M,0.55,415,175,1042,0.3295,0.2325,0.2905
F,505,0.39,0.16,644,0.2475,0.2025,0.1635
F,0.57,465,0.16,0.8935,0.3145,0.2575,263
M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625
M,0.52,0.42,0.16,745,255,157,0.2885
M,0.45,335,125,349,119,0.1055,115
M,425,0.33,0.13,0.4405,152,0.0935,155
M,405,305,0.12,0.3185,0.1235,0.0905,95
F,0.49,365,0.13,0.6835,165,0.1315,205
I,335,0.25,0.08,183,0.0735,0.04,0.0575
I,0.36,0.3,85,0.27,0.1185,64,0.0745
I,365,275,135,0.24,108,0.0445,0.0735
I,395,0.29,95,304,127,84,77
I,475,365,125,0.5465,229,0.1185,172
F,0.48,365,135,0.6395,0.2945,113,175
M,0.49,385,125,609,0.3065,96,0.1775
F,0.55,0.43,125,923,0.4035,175,283
M,555,435,145,0.9685,0.4985,168,0.2385
M,0.59,475,165,1077,0.4545,244,0.3095
F,605,475,175,1382,609,0.2325,0.3985
M,0.63,505,165,1.26,0.4525,0.2755,406
M,655,0.58,205,2.0805,959,0.3415,601
M,0.66,0.53,0.17,1.3905,0.5905,212,453
F,0.67,585,0.16,1309,0.5445,0.2945,413
F,675,525,0.17,1.8095,784,391,455
F,685,0.54,0.16,1.6675,833,0.3775,475
M,0.73,595,0.23,2.8255,1.1465,419,897
I,205,0.14,0.05,46,0.0165,12,0.0135
I,0.24,175,55,0.0705,25,14,21
I,255,0.19,0.05,83,0.0295,0.0215,27
I,255,0.18,55,83,31,0.0215,0.02
I,315,0.23,0.07,144,53,0.0305,0.04
I,0.33,265,85,196,0.0775,0.0305,0.0445
I,335,0.25,75,0.1825,0.0705,44,55
I,345,265,0.1,0.2455,111,0.0535,65
I,385,265,0.08,251,124,37,0.07
I,0.41,0.31,0.09,339,155,0.0695,0.09
I,415,0.33,0.09,0.3595,0.17,81,0.09
I,425,0.34,0.1,382,164,96,0.1
I,0.43,325,0.09,425,217,87,95
I,445,0.35,0.13,0.4195,0.1695,0.0945,0.1195
I,0.45,0.36,0.13,478,191,127,137
I,0.45,355,105,0.4445,197,93,0.1335
I,0.45,345,0.11,0.47,0.2355,0.0855,0.1135
I,0.45,335,105,447,0.2335,153,119
I,455,375,0.12,497,0.2355,0.1055,0.1295
I,0.46,0.36,0.1,0.4635,0.2325,93,115
I,0.46,345,105,449,196,0.0945,0.1265
I,465,365,115,467,0.2315,0.0925,113
I,465,0.37,115,534,261,98,143
I,465,345,0.11,0.4415,0.1755,0.0905,0.12
M,0.48,385,145,0.64,0.2925,0.1405,0.1575
M,0.48,0.36,0.1,439,194,99,115
M,0.5,0.39,135,0.6595,0.3145,0.1535,0.1565
I,505,0.39,0.15,685,362,131,156
M,505,0.41,125,642,289,133,155
I,0.51,375,0.1,0.5785,238,0.1225,175
M,525,0.4,0.14,0.7325,334,0.1575,0.17
F,0.53,425,0.15,0.8495,328,232,202
F,0.55,445,155,0.9905,544,178,218
M,0.57,0.46,0.17,0.9035,0.4075,0.1935,214
F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29
M,0.59,0.47,0.16,1206,479,0.2425,309
F,595,0.45,0.15,1114,0.5865,0.2205,0.25
M,595,475,165,1213,621,0.2435,274
F,0.62,0.51,0.18,1.3315,594,276,388
F,625,0.5,165,1288,573,0.3035,315
M,0.64,505,155,1.4025,705,0.2655,335
F,0.64,0.5,0.17,1.5175,693,326,409
F,645,515,0.15,1212,515,0.2055,385
M,0.65,495,0.16,1304,0.57,312,0.3725
M,0.66,495,195,1.6275,594,0.3595,485
F,675,0.57,225,1587,739,0.2995,435
M,0.69,505,0.2,1872,893,0.4015,0.48
F,695,535,175,1.8385,0.8035,396,503
M,715,565,175,1.9525,0.7645,0.4185,0.4135
M,765,0.6,0.22,2302,1007,509,0.6205
I,185,0.13,45,29,12,0.0075,0.0095
I,0.2,155,0.04,0.0435,0.0155,9,7
I,275,195,65,106,54,0.02,28
I,0.28,0.21,85,0.1075,0.0415,24,34
I,375,275,0.1,0.2325,0.1165,42,65
I,405,0.3,0.11,0.32,172,44,93
I,0.41,0.3,0.1,282,0.1255,57,0.0875
I,0.41,325,0.1,0.3245,132,72,106
I,0.42,0.3,105,316,0.1255,0.07,0.1035
M,0.43,335,0.12,397,0.1985,0.0865,0.1035
I,435,0.33,0.11,413,0.2055,96,96
I,0.44,0.33,0.11,0.3705,0.1545,84,0.12
I,445,335,0.11,411,0.1985,0.0935,109
I,0.45,0.34,0.12,0.4925,241,0.1075,0.12
I,0.45,0.33,0.1,411,0.1945,0.1,98
M,0.47,0.36,105,544,0.27,0.1395,129
I,0.48,0.38,125,0.6245,0.3395,0.1085,0.1665
I,0.5,375,0.12,542,215,116,0.17
M,0.5,0.39,125,0.5215,0.2485,117,131
I,0.51,0.4,125,0.5575,0.2615,0.1195,0.1525
I,0.51,0.38,115,0.5155,215,0.1135,166
I,525,0.4,0.13,0.6455,325,0.1245,0.17
M,0.55,425,0.15,0.8315,411,0.1765,0.2165
M,0.56,415,145,852,0.43,0.1885,205
I,0.57,0.44,0.15,755,0.3425,0.16,224
F,575,0.45,0.16,1068,556,214,0.2575
I,575,435,0.13,805,0.3155,0.2155,245
M,575,445,145,847,415,0.1945,0.22
M,0.58,0.45,0.14,0.9615,486,0.1815,253
M,585,0.46,145,0.9335,478,0.1825,235
M,0.59,0.47,0.15,0.9955,481,232,0.24
F,0.6,465,0.15,1.1025,0.5455,262,0.25
M,0.6,465,155,1.0165,512,0.2465,225
M,615,0.46,0.17,1.0565,0.4815,272,0.27
M,645,0.53,195,1.39,0.6465,0.2945,0.3735
F,655,0.51,175,1415,0.5885,0.3725,364
I,665,0.5,0.17,1.2975,0.6035,291,0.3595
M,0.69,0.53,0.21,1583,0.7355,405,0.3865
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695
M,0.7,565,0.18,1751,895,0.3355,446
M,0.7,575,0.19,2273,1095,418,638
F,705,0.55,0.17,1219,0.6395,236,301
F,0.71,0.56,0.18,1652,735,381,0.4525
M,725,505,185,1978,1026,0.4255,0.4505
F,0.75,0.57,0.21,2236,1109,0.5195,545
I,345,255,95,0.1945,0.0925,37,55
I,345,255,85,0.2005,105,37,0.05
I,0.36,0.27,85,196,0.0875,35,64
I,365,0.27,85,196,0.0825,0.0375,0.06
I,365,265,85,213,0.0945,49,0.06
I,0.37,0.29,0.09,0.2445,89,0.0655,75
I,375,0.29,95,213,96,41,61
I,375,275,0.09,218,93,0.0405,0.0755
I,375,0.28,0.08,0.2025,0.0825,48,65
I,0.38,0.27,0.08,0.2105,0.0865,42,0.07
I,385,0.29,0.09,0.2615,111,0.0595,0.0745
I,0.39,0.3,95,0.3265,0.1665,0.0575,89
I,395,305,105,284,0.1135,0.0595,0.0945
I,395,295,95,0.2725,115,0.0625,85
I,395,0.27,0.1,0.2985,0.1445,61,82
I,425,325,0.11,0.3335,173,45,0.1
I,0.44,0.34,0.12,438,0.2115,83,0.12
I,0.47,365,0.1,411,175,0.0855,135
I,0.47,355,0.18,0.48,0.2055,105,0.1505
I,0.47,355,0.12,393,167,0.0885,115
I,0.48,0.37,125,0.5435,244,101,165
I,495,355,0.12,0.4965,214,0.1045,0.1495
I,515,0.4,135,0.6965,0.32,0.1255,175
I,0.52,0.4,0.13,0.5825,233,0.1365,0.18
I,0.53,415,0.11,0.5745,0.2525,0.1235,189
M,535,435,0.15,717,0.3475,0.1445,194
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,229
